name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Shireen Baratheon, Princess,A Game of Thrones,House Baratheon of Dragonstone,289 AC,,Season 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigrin,,A Clash of Kings,House Greyjoy,,,,Ironborn, Sigrin the Shipwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Leygood,Ser,The Sworn Sword,House Leygood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squinty Jeyne,,The Sworn Sword,House Osgrey,,,,, Squinty Jeyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reach,House Osgrey,,Faith of the Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigfryd Harlaw, Master of Harlaw Hall,A Feast for Crows,House Harlaw of Harlaw Hall,,,,Ironborn, Sigfryd Silverhair,,,,,,,,,,,,,,,,," Per bend black and silver, two scythes counterchanged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windblown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270 AC,,,,,Tattered Prince," 2,000 horse and foot", A fork-taled blue-and-white flag,,Tattered Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrion Lannister,Hand of the King,A Game of Thrones,House Lannister,273 AC,,Season 1,, The Imp<br>Halfman<br>The boyman<br>Giant of Lannister<br>Lord Tywin's Doom<br>Lord Tywin's Bane<br>Yollo<br>Hugor Hill<br>No-Nose<br>Freak<br>Dwarf,,,,,,,,,,,,,,,,Tysha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bard,,A Feast for Crows,House Tyrell,,,,, Blue Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Tyrell, Ser,A Storm of Swords,House Tyrell,,,,,,,,,,,,,,,,,,,,,Lia Serry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Staunton,Rook's Rest,The Princess and the Queen,House Staunton,,129 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essos,Magisters,,religions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Staunton,Ser,The Sworn Sword,House Staunton,,,,,,,,,,,,,,,,,,,,,Rohanne Webber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Stokeworth, Lord of Stokeworth,,,,,,,,,,,,,,,Tyrion Tanner,,,,,,,,,,,,,,,,,,,,,,,,,,," Vert, a lamb couchant argent holding a goblet or",Stokeworth,Lollys Stokeworth,Crownlands,House Baratheon of King's Landing, <i>Proud to be Faithful</i>,,,,,,,,,,,,,,,,,,,,,
Qohor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essos,,,Black Goat of Qohor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Waste,Pureborn, in ancient times.,religions,House of the Undying,Thirteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Toyne,,A Game of Thrones,House Toyne,,281 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skittrick,,A Clash of Kings,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skinner,,A Dance with Dragons,House Bolton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Blue Su,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skahaz mo Kandaq,,A Dance with Dragons,House of Kandaq,Meereen,,,Ghiscari, The Shavepate<br>Skahaz Shavepate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyte,,A Clash of Kings,,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloey,,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Paul,,A Storm of Swords,Night's Watch,,299 AC,,, Cheese-for-wits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softfoot,,A Storm of Swords,Night's Watch,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiling Knight,,A Storm of Swords,Kingswood Brotherhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Alyn,,A Dance with Dragons,House Bolton,,,,, Sour Alyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Boot,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Cat,,A Dance with Dragons,,,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Pate of Maidenpool,,A Storm of Swords,Night's Watch,,299 AC,,, Spotted Pate of Maidenpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squint,,A Clash of Kings,House Greyjoy,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirrel,,A Dance with Dragons,,Beyond the Wall,300 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalwart Shield,,A Dance with Dragons,Unsullied,,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stafford Lannister,Ser,A Game of Thrones,House Lannister,246 AC,299 AC,,Westerman, Uncle Dolt,,,,,,,,,,,,,,,,Myranda Lefford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steely Pate,,The Hedge Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stannis Seaworth,,A Clash of Kings,House Seaworth,289 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelskin,,A Dance with Dragons,House of Loraq,,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffarion Sparr,,A Feast for Crows,House Sparr,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Fossoway,Ser,The Hedge Knight,House Fossoway of Cider Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Darklyn,Ser,The Princess and the Queen,House Darklyn,,129 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Baratheon,Storm's End,The World of Ice and Fire,House Baratheon,246 AC,278 AC,,,,,,,,,,,,,,,,,,,Cassana Estermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Hollard,Ser,A Feast for Crows,House Hollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Stackspear,Ser,A Storm of Swords,House Stackspear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Varner, Lord,A Clash of Kings,House Varner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Swyft,Ser,A Storm of Swords,House Swyft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevron Frey,Ser,A Game of Thrones,House Frey,233 AC,299 AC,Season 1,,,,,,,,,,,,,,,,,,Corenna Swann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Seaworth,,A Clash of Kings,House Seaworth,293 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Thumbs,,A Storm of Swords,,,299 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stiv,,A Game of Thrones,Night's Watch,,298 AC,Season 1,Wildlings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stygg,,A Clash of Kings,House Greyjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonesnake,,A Clash of Kings,Night's Watch,250 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehand,,A Feast for Crows,,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Styr,Magnar of Thenn,A Storm of Swords,Thenn,,300 AC,Season 4,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumner Crakehall,Crakehall,A Storm of Swords,House Crakehall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffon Frey,,A Clash of Kings,House Frey,263 AC,,,, Steffon the Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sybassion,,A Clash of Kings,,,,,Qarth," Blind Sybassion, the Eater of Eyes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,,A Clash of Kings,House Greyjoy,,294 AC,,, Sylas Sourmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sybelle Glover,Deepwood Motte,A Clash of Kings,House Locke,,,,Northmen,,,,,,,,,,,,,,,,,Robett Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sybell Spicer,Crag,A Storm of Swords,House Spicer,,,,,,,,,,,,,,,,,,,,,Gawen Westerling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas Flatnose,King of the Iron Islands,A Feast for Crows,,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylva Santagar,Greenstone,A Feast for Crows,House Santagar,276 AC,,,Dornish, Spotted Sylva,,,,,,,,,,,,,,,,Eldon Estermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symeon Star-Eyes,,The Hedge Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symon Hollard,Ser,A Feast for Crows,House Hollard,,Duskendale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symon Santagar,Ser,A Feast for Crows,House Santagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylwa Paege,,A Clash of Kings,House Paege,,,,,,,,,,,,,,,,,,,,,Whalen Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symon Silver Tongue,,A Clash of Kings,,,299 AC,,, Symon Silver Tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symond Templeton,Ser,A Feast for Crows,House Templeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symond Botley,,A Feast for Crows,House Botley,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symon Stripeback,,A Dance with Dragons,House Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrio Forel,,A Game of Thrones,House Stark,Braavos,298 AC,Season 1,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagganaro,,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tal Toraq,,A Dance with Dragons,House Targaryen,,,,Summer Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taena of Myr,,A Storm of Swords,House Merryweather,276 AC,,,Myrish, Taena Merryweather<br>Myr,,,,,,,,,,,,,,,,Orton Merryweather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talea,,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talla Tarly,,A Storm of Swords,House Tarly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallad,Ser,A Clash of Kings,House Baratheon of King's Landing,,,,, Tallad the Tall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanselle,,The Hedge Knight,,,,,Dornishmen, Tanselle Too-Tall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tansy (orphan),,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tansy,,A Storm of Swords,Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanda Stokeworth,Stokeworth,A Game of Thrones,House Stokeworth,Stokeworth,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarber,,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarle,,A Feast for Crows,Drowned men,,,,Ironborn, Tarle the Thrice-Drowned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanton Fossoway,Ser,A Clash of Kings,House Fossoway of Cider Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temmo, Khal,A Storm of Swords,,Century of Blood,Century of Blood,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symond Frey,,A Clash of Kings,House Frey,252 AC,300 AC,,,,,,,,,,,,,,,,,,,Betharios of Braavos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Lynderly,,A Feast for Crows,House Lynderly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternesio Terys, Captain,A Storm of Swords,,,,Season 4,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Kenning,Kayce,A Storm of Swords,House Kenning of Kayce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Toyne,Ser,The World of Ice and Fire,House Toyne,,178 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terro,,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Frey,Ser,A Game of Thrones,House Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Wull,,A Game of Thrones,House Wull,,283 AC,,Northern mountain clans, Buckets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodan Wells,Ser,A Feast for Crows,House Wells,,,,Northmen, Theodan the True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theomar Smallwood,Acorn Hall,A Storm of Swords,House Smallwood,,,,,,,,,,,,,,,,,,,,,Ravella Swann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theobald,Seneschal,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thistle,,A Dance with Dragons,,,300 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theon Stark,,,,,,,Northmen, The Hungry Wolf,,,King of Winter,,,House Stark,,,,,,The World of Ice and Fire,,,,,,,,,,Winterfell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thormor Ironmaker,,A Feast for Crows,House Ironmaker,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoren Smallwood,First Ranger,A Clash of Kings,Night's Watch,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theon Greyjoy,green lands,A Game of Thrones,House Greyjoy,278 AC,,Season 1,Ironmen, Prince of Fools<br>Theon Turncloak<br>the squid prince<br>Reek<br>Theon Kinslayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three-Tooth,Ten Towers,A Feast for Crows,House Harlaw,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Toes,,A Storm of Swords,Brave Companions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Stone,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Tangletongue,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tickler,,A Clash of Kings,House Clegane,,300 AC,Season 2,, the Tickler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeon,,A Storm of Swords,Brave Companions,Dorne,300 AC,,Dornish, Timeon of Dorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timett (father),,A Game of Thrones,Burned Men,,,,Vale mountain clans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timett,red hand,A Game of Thrones,Burned Men,278 AC,,Season 1,Vale mountain clans, Timett One-Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theomore Harlaw, Lord of the Ten Towers<br>Lord Harlaw of Harlaw<br>Harlaw of Harlaw,A Feast for Crows,House Harlaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timon,Ser,A Clash of Kings,,,,,, Timon the Scrapesword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timoth,,A Feast for Crows,House Martell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobbot,,A Clash of Kings,House Clegane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titus Peake,Starpike,A Storm of Swords,House Peake,,,,,,,,,,,,,,,,,,,,,Margot Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobho Mott,,A Game of Thrones,,,,Season 1,Qohor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
